,Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
169,Downtown Toronto,43.6571618,-79.37893709999999,Danish Pastry House,43.654574,-79.38074,Bakery
170,Downtown Toronto,43.6571618,-79.37893709999999,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144,Middle Eastern Restaurant
171,Downtown Toronto,43.6571618,-79.37893709999999,Ryerson Image Centre,43.65752337161094,-79.37945958709186,Art Gallery
172,Downtown Toronto,43.6571618,-79.37893709999999,BMV Books,43.657047061091596,-79.38166061431659,Bookstore
173,Downtown Toronto,43.6571618,-79.37893709999999,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
174,Downtown Toronto,43.6571618,-79.37893709999999,Trattoria Mercatto,43.65445314470199,-79.3809741075674,Italian Restaurant
175,Downtown Toronto,43.6571618,-79.37893709999999,MUJI,43.656024,-79.383284,Miscellaneous Shop
176,Downtown Toronto,43.6571618,-79.37893709999999,Indigo,43.65351471121164,-79.38069591056922,Bookstore
177,Downtown Toronto,43.6571618,-79.37893709999999,Kabul Express,43.65669146835466,-79.37664313658586,Middle Eastern Restaurant
178,Downtown Toronto,43.6571618,-79.37893709999999,DAVIDsTEA,43.65506981949658,-79.38059022205873,Tea Room
179,Downtown Toronto,43.6571618,-79.37893709999999,CF Toronto Eaton Centre,43.65359376340117,-79.38061140153864,Shopping Mall
180,Downtown Toronto,43.6571618,-79.37893709999999,Panera Bread,43.65710745327419,-79.38157439231873,Bakery
181,Downtown Toronto,43.6571618,-79.37893709999999,SEPHORA,43.653688,-79.38012,Cosmetics Shop
182,Downtown Toronto,43.6571618,-79.37893709999999,Jack Astor's Bar & Grill,43.65601939992059,-79.38032551379719,Restaurant
183,Downtown Toronto,43.6571618,-79.37893709999999,Red Lobster,43.656328,-79.383621,Seafood Restaurant
184,Downtown Toronto,43.6571618,-79.37893709999999,Second Cup,43.65602745564191,-79.38057491935326,Coffee Shop
185,Downtown Toronto,43.6571618,-79.37893709999999,Paramount Fine Foods,43.65502870847598,-79.38024513018975,Middle Eastern Restaurant
186,Downtown Toronto,43.6571618,-79.37893709999999,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
187,Downtown Toronto,43.6571618,-79.37893709999999,Nordstrom Ebar,43.654648676831954,-79.38057377013143,Coffee Shop
188,Downtown Toronto,43.6571618,-79.37893709999999,MAC,43.65405547492733,-79.38071368220903,Cosmetics Shop
189,Downtown Toronto,43.6571618,-79.37893709999999,LUSH,43.653557,-79.3804,Cosmetics Shop
190,Downtown Toronto,43.6571618,-79.37893709999999,Hollister Co.,43.654479660102204,-79.38091371769396,Clothing Store
191,Downtown Toronto,43.6571618,-79.37893709999999,Duke's Refresher + Bar,43.65897985683036,-79.38294890507811,Bar
192,Downtown Toronto,43.6571618,-79.37893709999999,Booster Juice,43.65631796,-79.38276487,Juice Bar
193,Downtown Toronto,43.6571618,-79.37893709999999,Roots,43.65361341708363,-79.38024401664734,Clothing Store
194,Downtown Toronto,43.6571618,-79.37893709999999,Lake Devo,43.6569936860937,-79.37689788366988,Lake
195,Downtown Toronto,43.6571618,-79.37893709999999,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
